structure_id,x,y,z,reference_space_id
926,9780,4270,2150,10
661,10850,6780,4340,10
171,2870,2670,5560,10
312782652,9290,2920,1880,10
162,10320,3980,5130,10
698,3520,5260,3860,10
967,5100,5420,4780,10
788,6770,7150,2470,10
677,6300,4450,1260,10
440,3300,3630,4180,10
839,12520,5360,5340,10
610,7990,700,4750,10
974,4650,3100,2380,10
836,8120,4260,720,10
939,11620,6550,4280,10
577,5400,1680,3220,10
501,8370,700,3980,10
687,7800,1250,5190,10
773,12540,5680,5470,10
526,10030,4460,2190,10
67,8430,3950,5350,10
671,8460,360,4350,10
353,5670,2460,2100,10
347,5990,6380,5520,10
377,9740,2270,2610,10
589,3300,5430,5390,10
2,4930,3340,2750,10
1021,4070,2490,4360,10
466,7740,3250,3030,10
138,7470,3500,4190,10
145,11620,4470,4400,10
362,6760,3920,5240,10
81,6410,3170,3480,10
962,3440,1900,4290,10
331,7940,6110,5240,10
648,4290,2450,3560,10
364,7460,5680,4500,10
981,6640,1380,2100,10
456,8390,2560,1830,10
726,8160,3070,3390,10
593,9250,900,2980,10
943,4160,2160,3390,10
541,8340,3580,1100,10
332,6200,6210,5290,10
22,7480,1020,3240,10
279,7540,1140,4540,10
607344838,8740,5620,5620,10
97,8450,3490,670,10
657,4450,2880,2080,10
538,1840,3760,4440,10
951,12810,3470,5130,10
649,8240,2020,2290,10
188,2100,3490,4570,10
582,2720,3640,5460,10
977,7960,4350,1430,10
345,4620,3010,2300,10
612,9470,5180,3890,10
117,5440,7040,5360,10
251,7900,2730,980,10
970,11390,5370,5370,10
321,7650,4530,3140,10
727,9670,4170,2230,10
607344862,8350,5280,5450,10
120,5840,5210,1210,10
63,6510,5680,5230,10
638,4870,4450,2250,10
429,12840,5900,3980,10
398,9920,6750,4440,10
320,4020,1810,3240,10
852,11450,5980,4230,10
48,4850,2470,5360,10
884,7000,5370,1970,10
484682524,7120,3920,2370,10
972,3110,2780,5250,10
1027,8420,2290,1460,10
206,10540,6530,5670,10
1066,7640,550,3990,10
563807439,7950,4060,3340,10
1029,8230,3540,3970,10
262,6340,4340,3730,10
832,10030,4490,5550,10
484682516,5700,2520,3990,10
643,8420,2180,1320,10
718,6820,4320,3660,10
44,3490,3710,5340,10
526157192,2400,2780,4540,10
1100,8070,3090,4650,10
342,5000,6250,4170,10
292,6380,7060,3760,10
448,2510,3910,4200,10
607344830,8570,5230,5380,10
1073,11640,3660,2850,10
697,8920,5580,5020,10
1035,6100,3290,1440,10
1125,2840,3510,4860,10
26,9340,2440,4930,10
484682520,7570,2620,2160,10
113,5850,950,3860,10
131,7270,5230,2090,10
872,9830,3820,5640,10
374,8290,5150,4320,10
210,7910,6210,4750,10
348,9420,4490,4790,10
1014,7670,3940,3070,10
1089,8500,3670,2770,10
821,9130,1040,3100,10
258,4730,4180,5280,10
17,9140,2390,4720,10
139,8860,4870,1450,10
1023,7830,3420,1180,10
936,12310,2050,5000,10
1004,7560,6610,5130,10
311,7640,5910,2260,10
776,6030,2530,3640,10
912,11270,4060,5490,10
794,11400,6010,3470,10
39,4440,1940,5280,10
689,5290,6860,4940,10
312782550,7210,530,3550,10
312782598,8920,2410,2090,10
133,5500,6280,5630,10
819,5050,2490,5000,10
